,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
0,117,299,102,3,4.0,3.5,8.62,0,2.499964011114891
1,49,321,110,3,3.5,5.0,8.85,1,2.65206200297085
2,94,301,97,2,3.0,3.0,7.88,1,2.2096233382876047
3,108,338,117,4,3.5,4.5,9.46,1,3.0211849512415974
4,327,299,100,3,2.0,2.0,8.02,0,2.3777711504273933
5,387,300,100,2,2.31,3.22,7.93,0,2.1145486814191443
6,312,328,108,4,4.5,4.0,9.18,1,2.9641616162540982
7,239,326,110,4,4.31,3.44,9.15,1,2.9580519732197237
8,354,300,102,3,3.5,2.5,8.17,0,2.408319365599268
9,453,328,116,4,5.0,3.5,9.6,1,3.0496966187353465
10,58,298,99,2,4.0,2.0,7.6,0,2.0473426080410206
11,59,301,99,2,3.66,2.34,7.77,0,2.081963918569145
12,361,322,110,3,4.0,5.0,8.64,1,2.609294501730226
13,95,303,99,3,2.0,2.5,7.66,0,2.304455434014895
14,119,296,99,2,3.0,3.5,7.28,0,1.982173082341022
15,134,332,113,4,4.0,3.99,9.28,1,2.984527093035348
16,424,334,118,5,4.57,4.93,9.48,1,3.2701515865029718
17,171,312,101,2,2.5,3.5,8.04,1,2.242208101137604
18,230,324,111,4,3.0,3.0,9.01,1,2.929540305725974
19,40,307,108,2,4.0,3.5,7.7,0,2.06770808482227
20,372,324,110,3,3.5,3.0,9.22,1,2.727414267061474
21,149,339,116,4,4.0,3.5,9.8,1,3.090427572297846
22,444,321,114,5,4.5,4.5,9.16,1,3.204982060802973
23,343,308,106,3,3.0,3.0,8.24,0,2.422575199346143
24,408,305,99,3,2.63,2.74,7.58,0,2.288163052589895
25,336,297,95,1,2.41,1.59,7.89,0,1.8615089508015201
26,277,329,113,5,5.0,4.5,9.45,1,3.2640419434685968
27,92,299,97,2,4.98,3.5,7.66,0,2.0595618941097706
28,7,321,109,3,3.0,4.0,8.2,1,2.519686403892728
29,65,325,111,3,3.0,3.5,8.7,0,2.5162563925398906
30,224,308,109,2,3.0,4.0,8.45,0,2.220449160681642
31,318,300,99,1,1.0,2.5,8.01,0,1.8859475229390197
32,34,333,113,4,3.71,4.86,9.69,1,3.0680255478384715
33,340,295,96,2,1.8,1.85,7.5,0,2.026977131259771
34,153,321,112,5,5.0,5.0,9.06,1,3.1846165840217235
35,11,323,105,2,3.41,3.93,8.36,1,2.3073776268376025
36,443,331,116,4,4.5,4.5,9.44,1,3.0171118558853474
37,59,309,103,1,2.1,2.0,8.15,0,1.9144591904327692
38,476,300,101,3,3.5,2.5,7.88,0,2.349259482933644
39,330,297,96,2,2.5,1.5,7.89,0,2.1064024907066448
40,192,323,110,5,4.0,5.0,8.98,1,3.1683242025967235
41,423,299,100,2,2.0,2.94,7.45,0,2.0167943928691465
42,301,309,106,2,2.5,2.5,8.0,0,2.1288045151660193
43,81,312,105,3,2.0,3.0,8.02,1,2.4830285456864782
44,279,308,103,2,3.0,3.5,8.49,0,2.228595351394142
45,40,307,108,2,3.38,2.63,7.88,0,2.1043659430285198
46,16,323,105,2,3.31,3.71,8.36,1,2.3073776268376025
47,259,326,102,4,5.0,5.0,8.76,1,2.87862661377285
48,346,305,97,1,1.5,2.0,7.61,0,1.8044856158140214
49,93,298,98,2,4.0,3.0,8.03,0,2.134914158200394
50,347,304,97,2,1.5,2.0,7.64,0,2.0554887987535206
51,294,312,98,1,3.5,3.0,8.18,1,2.025826228726229
52,271,306,105,2,2.5,3.0,8.22,1,2.2788659593438534
53,35,331,112,5,4.0,5.0,9.8,1,3.3353211122029705
54,252,316,99,2,2.5,3.0,9.0,0,2.3324592829785153
55,342,326,110,3,3.5,3.5,8.76,1,2.6337330738677256
56,60,310,103,2,2.17,2.09,8.29,0,2.187864397831643
57,192,323,110,5,4.0,5.0,8.98,1,3.1683242025967235
58,250,321,111,3,3.5,4.0,8.83,1,2.6479889076146
59,391,314,102,2,2.0,2.5,8.24,0,2.1776816594410184
60,428,310,101,3,3.5,5.0,8.65,1,2.611331049408351
61,334,330,117,4,4.52,4.68,9.36,1,3.0008194744603474
62,355,297,98,2,2.5,3.0,7.67,0,2.0615984417878956
63,60,309,100,2,2.92,2.92,8.12,0,2.1532430873035184
64,380,311,105,2,2.0,2.93,7.84,0,2.0962197523160198
65,380,311,99,1,2.5,3.0,8.43,1,2.076739920679353
66,460,329,113,4,4.0,3.5,9.36,1,3.0008194744603474
67,48,339,119,5,4.5,4.0,9.7,0,3.2096982401626355
68,142,332,118,2,4.5,3.5,9.36,1,2.5110323946500985
69,92,299,97,3,5.0,3.5,7.66,0,2.304455434014895
70,94,301,97,2,2.63,2.81,7.8,0,2.0880735616035198
71,54,324,112,4,4.0,2.5,8.1,1,2.7442144670166027
72,118,290,104,4,2.0,2.5,7.46,0,2.50861802035752
73,457,298,99,1,2.0,1.89,7.81,0,1.8452165693765203
74,35,331,112,5,4.0,5.0,9.8,1,3.3353211122029705
75,110,304,103,5,5.0,4.0,8.64,0,2.99382418628139
76,241,296,101,1,2.5,3.0,7.68,0,1.818741449560896
77,311,320,104,3,3.0,3.5,8.74,1,2.6296599785114756
78,221,313,103,3,4.0,4.0,8.75,0,2.5264391309305156
79,299,330,114,3,4.5,4.5,9.24,1,2.731487362417724
80,443,331,116,4,4.5,4.5,9.44,1,3.0171118558853474
81,183,299,100,2,3.0,3.5,7.88,0,2.1043659430285198
82,497,337,117,5,5.0,5.0,9.87,1,3.349576945949845
83,304,323,107,3,3.5,3.5,8.55,1,2.5909655726271015
84,44,332,117,4,4.5,4.0,9.1,0,2.8426118395700137
85,123,310,106,4,1.5,2.5,8.36,0,2.6919073113887664
86,59,301,99,2,3.66,2.34,7.77,0,2.081963918569145
87,77,327,112,3,3.0,3.0,8.72,1,2.625586883155226
88,93,298,97,2,3.91,3.0,8.02,0,2.132877610522269
89,36,304,104,2,3.23,3.19,7.64,0,2.0554887987535206
90,454,319,103,3,2.5,4.0,8.76,1,2.6337330738677256
91,307,323,110,3,4.0,3.5,9.1,1,2.7029756949239743
92,348,299,94,1,1.0,1.0,7.34,0,1.7494988285046473
93,15,311,104,3,3.5,2.0,8.2,1,2.519686403892728
94,93,298,97,2,3.91,3.0,8.02,0,2.132877610522269
95,378,294,96,1,2.2,2.0,7.5,0,1.7820835913546467
96,500,327,113,4,4.5,4.5,9.04,0,2.8303925535012637
97,125,301,106,4,2.5,3.0,8.47,0,2.7143093358481414
98,222,316,110,3,3.5,4.0,8.56,0,2.4877447250461415
99,6,330,115,5,4.5,3.0,9.34,1,3.241639919009222
100,234,304,100,2,2.5,3.5,8.07,0,2.143060348912894
101,277,329,113,5,5.0,4.5,9.45,1,3.2640419434685968
102,218,321,109,4,4.0,4.0,9.13,1,2.9539788778634737
103,79,294,93,1,1.92,2.0,7.41,0,1.763754662251522
104,19,318,110,3,4.0,3.0,8.8,0,2.5366218693211406
105,471,320,110,5,4.0,4.0,9.27,1,3.227384085262347
106,394,317,104,2,3.0,3.0,8.76,0,2.2835821387035162
107,128,319,112,3,2.5,2.0,8.71,1,2.623550335477101
108,260,331,119,4,5.0,4.5,9.34,1,2.996746379104098
109,33,335,116,4,3.31,4.65,9.52,1,3.033404237310347
110,379,303,98,1,2.0,2.5,7.65,0,1.8126318065265212
111,376,302,99,2,2.08,2.48,7.65,0,2.0575253464316456
112,168,313,102,3,2.0,3.0,8.27,0,2.4286848423805174
113,400,333,117,4,5.0,4.0,9.66,1,3.0619159048040965
114,444,327,114,4,4.22,4.78,9.33,1,2.994709831425973
115,190,324,112,5,5.0,5.0,9.08,1,3.188689679377973
116,386,335,117,5,5.0,5.0,9.82,1,3.3393942075592205
117,28,295,93,1,2.0,1.98,7.23,0,1.7270968040452728
118,176,320,111,4,4.5,3.5,8.87,1,2.9010286382322246
119,457,299,100,2,2.0,2.0,7.88,0,2.1043659430285198
120,110,304,103,5,5.0,4.0,8.64,0,2.99382418628139
121,81,312,105,3,2.0,3.0,8.02,1,2.4830285456864782
122,162,298,99,1,1.5,3.0,7.46,0,1.7739374006421469
123,254,335,115,4,4.5,4.5,9.68,1,3.0659890001603465
124,403,324,109,3,3.5,3.0,8.94,1,2.6703909320739747
125,484,304,103,5,5.0,3.0,7.92,0,2.8471927534563926
126,482,323,107,4,3.0,2.5,8.48,1,2.8216032787853513
127,489,322,112,3,3.0,4.0,8.62,1,2.605221406373976
128,462,301,102,3,2.5,2.0,8.13,1,2.5054305701458532
129,131,300,99,2,1.5,2.34,7.82,0,2.0921466569597698
130,372,324,110,3,3.5,3.0,9.22,1,2.727414267061474
131,79,302,98,2,2.62,2.38,7.72,1,2.177038575437605
132,60,305,99,2,3.33,2.67,7.93,0,2.1145486814191443
133,148,326,114,3,3.0,3.0,9.11,1,2.7050122426020993
134,68,316,107,2,3.5,3.5,8.64,1,2.3644009618251016
135,435,306,103,3,3.5,3.0,8.21,0,2.416465556311768
136,387,302,101,2,2.48,3.5,7.97,0,2.1226948721316443
137,188,335,118,5,4.5,3.5,9.44,1,3.2620053957904718
138,192,322,113,5,4.39,4.23,8.95,1,3.1622145595623485
139,126,337,115,5,4.49,4.75,9.66,1,3.306809444709221
140,19,318,110,3,4.0,3.0,8.8,0,2.5366218693211406
141,378,290,100,1,1.5,2.0,7.56,0,1.7943028774233964
142,256,307,110,4,4.0,4.5,8.37,0,2.6939438590668914
143,40,307,108,2,4.0,3.5,7.7,0,2.06770808482227
144,454,319,103,3,2.5,4.0,8.76,1,2.6337330738677256
145,205,298,105,3,3.5,4.0,8.54,0,2.4836716296898915
146,206,295,99,2,2.5,3.0,7.65,0,2.0575253464316456
147,256,307,110,4,4.0,4.5,8.37,0,2.6939438590668914
148,93,300,97,2,3.46,3.11,7.83,0,2.0941832046378948
149,263,308,103,2,2.5,4.0,8.36,1,2.3073776268376025
150,459,312,100,1,3.0,3.0,8.53,1,2.0971053974606026
151,377,297,96,2,2.5,2.0,7.43,0,2.0127212975128965
152,419,306,101,3,2.66,2.56,7.53,0,2.2779803141992705
153,219,324,110,4,3.0,3.5,8.97,1,2.921394115013474
154,309,312,108,3,3.5,3.0,8.53,0,2.4816350820117665
155,6,330,115,5,4.5,3.0,9.34,1,3.241639919009222
156,59,300,99,1,3.0,2.0,6.8,1,1.7447826491449845
157,112,293,103,4,1.88,2.5,7.55,0,2.526946949460645
158,249,324,110,3,3.5,4.0,8.87,1,2.6561350983271
159,236,326,111,5,4.5,4.0,9.23,1,3.2192378945498477
160,39,304,105,1,3.0,1.5,7.5,0,1.7820835913546467
161,217,321,111,4,4.49,4.49,9.26,1,2.980453997679098
162,220,312,104,3,3.5,3.5,8.42,0,2.459233057552392
163,61,312,102,2,3.0,3.1,8.22,0,2.1736085640847684
164,118,290,103,3,2.07,2.57,7.45,0,2.261687932774271
165,380,296,96,2,2.16,2.0,7.56,0,2.0391964173285206
166,153,299,99,1,1.69,3.0,7.53,0,1.7881932343890217
167,92,299,97,3,5.0,3.5,7.66,0,2.304455434014895
168,147,324,113,2,2.75,2.87,8.99,1,2.4356801305594753
169,409,297,101,3,2.0,4.0,7.67,1,2.411749376952105
170,174,323,113,4,4.0,4.5,9.23,1,2.9743443546447232
171,39,306,107,1,3.98,3.46,7.7,0,1.822814544917146
172,371,305,98,1,2.0,2.23,7.77,0,1.8370703786640206
173,185,316,106,2,2.5,4.0,8.32,0,2.193974040866018
174,483,328,113,4,4.0,2.5,8.77,1,2.880663161450975
